supplier_code;category_id;reminder_id;supplier_name;periode_awal;periode_akhir;periode_bulan;no_raf;no_raf_referensi;store;toko_id;nominal;remarks;created_date;created_time;updated_date;updated_time;
02854;1;3;PT. SARANA ABADI MAKMUR BERSAMA(DF);2026-08-11;2026-08-11;2026-08-11;FDF/000047/LOC/8001/08/2026;;JAKARTA SELATAN;8001; 35000000;;2026-08-11;10:17:53;2026-08-11;10:27:18;
03451;1;3;PT. PANGAN LESTARI (KEWPIE/BALI);2026-06-15;2026-12-15;2026-08-11;GF/000044/LOC/9901/08/2026;;BALI;9901; 25000000;;2026-08-11;11:28:47;2026-08-11;12:13:40;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-01;2026-12-31;2026-08-07;GF/000047/LOC/9919/08/2026;;TANGERANG;9919; 60000000;;2026-08-07;16:21:54;2026-08-07;17:37:12;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-01;2026-12-31;2026-08-11;GF/000048/LOC/9919/08/2026;;TANGERANG;9919; 41700000;;2026-08-11;15:01:15;2026-08-11;15:07:43;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-01;2026-12-31;2026-08-11;GF/000049/LOC/9919/08/2026;;TANGERANG;9919; 50000000;;2026-08-11;15:34:31;2026-08-11;15:38:15;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-01;2026-12-31;2026-08-11;GF/000050/LOC/9919/08/2026;;TANGERANG;9919; 50000000;;2026-08-11;15:39:20;2026-08-11;15:40:15;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-01;2026-12-31;2026-08-11;GF/000051/LOC/9919/08/2026;;TANGERANG;9919; 25000000;;2026-08-11;15:41:53;2026-08-11;15:43:57;
00262;1;3;PT. NIRWANA LESTARI;2026-04-15;2026-05-14;2026-08-10;GF/000052/LOC/9912/08/2026;;BALI;9912;  4000000;;2026-08-10;12:25:45;2026-08-10;12:27:31;
06067;1;3;PT. BALINA AGUNG PERKASA (NESTLE);2026-09-01;2026-09-30;2026-08-11;GF/000113/LOC/9908/08/2026;;TANGERANG, BANTEN;9908;  4000000;;2026-08-11;14:34:21;2026-08-11;14:37:50;
00263;1;3;PT. MASUYA GRAHA TRIKENCANA;2026-08-16;2026-11-15;2026-08-11;GF/000119/LOC/9902/08/2026;;DKI JAKARTA;9902; 24000000;;2026-08-11;14:17:01;2026-08-11;14:21:28;
06067;1;3;PT. BALINA AGUNG PERKASA (NESTLE);2026-10-01;2026-12-31;2026-08-11;GF/000120/LOC/9902/08/2026;;DKI JAKARTA;9902; 12000000;;2026-08-11;15:49:36;2026-08-11;15:55:44;
00508;1;3;PT. SUKANDA DJAYA;2025-01-01;2025-12-31;2026-08-06;GF/000125/LOC/9903/08/2026;;DKI JAKARTA;9903;100000000;;2026-08-06;11:29:16;2026-08-06;11:29:52;
06067;1;3;PT. BALINA AGUNG PERKASA (NESTLE);2026-09-01;2026-09-30;2026-08-11;GF/000126/LOC/9903/08/2026;;DKI JAKARTA;9903; 10000000;;2026-08-11;14:39:37;2026-08-11;14:47:13;
06067;1;3;PT. BALINA AGUNG PERKASA (NESTLE);2026-10-01;2026-12-31;2026-08-11;GF/000127/LOC/9903/08/2026;;DKI JAKARTA;9903; 30000000;;2026-08-11;15:56:37;2026-08-11;15:58:05;
05564;1;3;PT. TIGARAKSA SATRIA TBK (MAHORAHORA);2026-08-08;2026-12-07;2026-08-06;GF/000239/LOC/8001/08/2026;;JAKARTA SELATAN;8001; 20000000;;2026-08-06;08:55:57;2026-08-06;08:57:11;
00262;1;3;PT. NIRWANA LESTARI;2026-07-01;2026-09-30;2026-08-10;GF/000240/LOC/8001/08/2026;;JAKARTA SELATAN;8001; 15000000;;2026-08-10;12:14:43;2026-08-10;12:16:22;
00262;1;3;PT. NIRWANA LESTARI;2026-01-01;2026-12-31;2026-08-10;GF/000241/LOC/8001/08/2026;;JAKARTA SELATAN;8001;110000000;;2026-08-10;12:17:46;2026-08-10;12:19:06;
00262;1;3;PT. NIRWANA LESTARI;2026-04-28;2026-05-27;2026-08-10;GF/000242/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  4000000;;2026-08-10;12:20:07;2026-08-10;12:21:55;
04045;1;3;PT. ENSEVAL PUTERA MEGATRADING (LM);2026-08-11;2026-08-11;2026-08-11;GF/000244/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  7500000;SUPPORT NEW ITEM;2026-08-11;09:58:14;2026-08-11;09:59:04;
00319;1;3;PT. MITRA SARANA PURNAMA;2026-08-11;2026-08-11;2026-08-11;GF/000246/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  5000000;SUPPORT NEW ITEM;2026-08-11;11:27:59;2026-08-12;09:26:24;
00508;1;3;PT. SUKANDA DJAYA;2026-08-11;2026-08-11;2026-08-11;GF/000247/LOC/8001/08/2026;;JAKARTA SELATAN;8001; 30000000;SUPPORT NEW ITEM;2026-08-11;14:04:44;2026-08-11;14:05:45;
05805;1;3;PT. SARI AGROTAMA PERSADA;2026-11-01;2027-01-31;2026-08-11;GF/000248/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  9000000;;2026-08-11;14:26:33;2026-08-11;14:31:35;
01572;1;3;PT. SUKANDA DJAYA;2026-08-11;2026-08-11;2026-08-11;GF/000249/LOC/8001/08/2026;;JAKARTA SELATAN;8001; 22500000;SUPPORT NEW ITEM;2026-08-11;14:52:13;2026-08-11;14:53:41;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-11;2026-08-11;2026-08-11;GF/000252/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  7500000;SUPPORT NEW ITEM;2026-08-11;17:24:28;2026-08-11;17:26:02;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-11;2026-08-11;2026-08-11;GF/000253/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  7500000;SUPPORT NEW ITEM;2026-08-11;17:34:21;2026-08-11;17:35:39;
00164;1;3;PT. INBISCO NIAGATAMA SEMESTA;2026-08-11;2026-08-11;2026-08-11;GF/000254/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  7500000;SUPPORT NEW ITEM;2026-08-11;17:37:22;2026-08-11;17:38:25;
04163;1;3;PT. HANWA INDONESIA;2026-08-12;2026-08-12;2026-08-12;GF/000255/LOC/8001/08/2026;;JAKARTA SELATAN;8001;  2000000;;2026-08-12;09:37:08;2026-08-12;09:41:27;
04435;2;3;PT. CATUR SENTOSA ANUGERAH (HIT);2026-09-01;2026-12-31;2026-08-05;GNF/000033/LOC/8002/08/2026;;DKI JAKARTA;8002;  8000000;;2026-08-05;16:05:11;2026-08-05;16:06:49;
01521;2;3;PT. PERFECT COMPANION INDONESIA;2026-09-01;2027-04-30;2026-08-05;GNF/000034/LOC/8002/08/2026;;DKI JAKARTA;8002; 40000000;;2026-08-05;16:07:11;2026-08-05;16:08:10;
03763;2;3;PT. CATUR SENTOSA ANUGERAH (PASEO);2026-09-01;2026-09-30;2026-08-05;GNF/000035/LOC/8002/08/2026;;DKI JAKARTA;8002; 12000000;;2026-08-05;16:08:24;2026-08-05;16:10:25;
06063;2;3;PT. RAMASURYA PERKASA DISTRINDO;2026-09-01;2026-11-30;2026-08-05;GNF/000036/LOC/8002/08/2026;;DKI JAKARTA;8002;  4500000;;2026-08-05;16:10:36;2026-08-06;15:29:34;
03554;2;3;PT. INDOMARCO ADI PRIMA;2026-09-01;2026-11-30;2026-08-05;GNF/000037/LOC/8002/08/2026;;DKI JAKARTA;8002;        0;;2026-08-05;16:12:09;2026-08-05;16:13:09;
03141;2;3;PT. VICTORIA CARE INDONESIA;2026-09-01;2027-08-31;2026-08-05;GNF/000043/LOC/9901/08/2026;;BALI;9901; 40000000;;2026-08-05;16:20:18;2026-08-05;16:22:13;
05666;2;3;PT. BORWITA CITRA PRIMA (G2G);2026-08-01;2026-10-31;2026-08-07;GNF/000048/LOC/9901/08/2026;;BALI;9901;  6000000;;2026-08-07;13:51:21;2026-08-07;13:52:14;
00872;2;3;PT. MUSTIKA RATU BUANA INTERNATIONAL;2026-09-01;2027-02-28;2026-08-05;GNF/000050/LOC/9912/08/2026;;BALI;9912; 10000000;;2026-08-05;17:30:57;2026-08-05;17:34:07;
04692;2;3;CV. MITRA PEMENANG (BALI);2026-09-01;2026-11-30;2026-08-05;GNF/000051/LOC/9912/08/2026;;BALI;9912;  3600000;;2026-08-05;17:34:32;2026-08-05;17:35:25;
01920;2;3;PT. DELTA SATRIA DEWATA (L'OREAL/BALI);2026-08-01;2027-07-31;2026-08-06;GNF/000052/LOC/9912/08/2026;;BALI;9912; 36000000;;2026-08-06;14:57:26;2026-08-06;14:58:40;
03472;2;3;PT. SEMESTA DISTRIBUSI INDONESIA;2025-12-24;2026-12-23;2026-08-05;GNF/000060/LOC/9916/08/2026;;JAWA BARAT;9916; 12000000;;2026-08-05;11:52:32;2026-08-05;11:57:54;
